Episode,Global_Step,REMO-DQN,w/o ResNet,w/o MoE,w/o Dueling,w/o R1,w/o R2,w/o R3
52,104000,-904104.6722822628,-906235.1469050643,-951021.4463214718,-904097.745236413,-903008.4722822629,-871845.0722822628,-899104.6722822628
53,106000,-885867.5797566442,-885858.312650798,-991135.595415786,-888292.5431493137,-884768.9797566442,-671588.5797566442,-880867.5797566442
54,108000,-951901.8798670182,-951894.1048619202,-1064765.3615176529,-952205.6856316928,-950805.4798670182,-739644.8798670182,-946901.8798670182
55,110000,-938770.31548258,-986376.3075746596,-936632.3354021412,-999731.5946502374,-937676.71548258,-905459.11548258,-933770.31548258
56,112000,-927468.202317078,-971791.2673908772,-927464.8706830088,-931604.8784143298,-926370.402317078,-714474.802317078,-922468.202317078
57,114000,-913628.36308702,-915653.8805789418,-913638.7657065556,-960606.4061176904,-912531.36308702,-876255.56308702,-908628.36308702
58,116000,-899809.0875556368,-858108.4148434775,-859829.761056939,-943879.3355399392,-898669.6875556367,-849910.0875556368,-894809.0875556368
59,118000,-896948.5790824548,-941737.8999658016,-899029.277996574,-897347.6888836697,-895849.3790824548,-864484.5790824548,-891948.5790824548
60,120000,-870595.7927703613,-870601.3527871562,-915807.3438331892,-902624.9351566248,-869494.3927703613,-838970.7927703613,-865595.7927703613
61,122000,-941505.0847560848,-1000546.8086469627,-898159.9513892073,-943935.0562151722,-940365.2847560848,-714520.2847560848,-936505.0847560848
62,124000,-898281.6703800658,-900677.2196303724,-971206.2135385912,-936363.860701798,-897183.4703800658,-866046.2703800658,-893281.6703800658
63,126000,-959355.7220003596,-1008086.4892556884,-1047478.2195847426,-957436.2309103336,-958265.9220003595,-747794.7220003596,-954355.7220003596
64,128000,-927973.3831056393,-925856.9731200858,-925862.3483381128,-962602.8670990996,-926877.3831056393,-712484.1831056393,-922973.3831056393
65,130000,-964310.0561886632,-1014668.2330510248,-966839.6189216386,-966835.083057248,-963217.2561886632,-750778.2561886632,-959310.0561886632
66,132000,-992698.7631996272,-889565.681458993,-889555.8606659491,-887609.9549714783,-991531.5631996272,-883678.1631996272,-987698.7631996272
67,134000,-890897.7571590946,-996760.4972666492,-996771.9381577668,-936759.4092881064,-889798.5571590946,-853212.7571590946,-885897.7571590946
68,136000,-881011.523747746,-881000.2073647538,-926673.5041638408,-881006.4650482658,-879909.3237477461,-844744.923747746,-876011.523747746
69,138000,-884639.3088581729,-882479.2311609366,-882471.5311542071,-982278.530092272,-883533.9088581728,-674121.9088581728,-879639.3088581729
70,140000,-941072.4001487864,-941067.5519766732,-897625.4568551248,-895440.9598666524,-939934.2001487864,-890893.0001487863,-936072.4001487864
71,142000,-1059662.470606764,-945733.2320561678,-947873.4811903676,-979579.203631697,-1058497.470606764,-950463.4706067641,-1054662.470606764
72,144000,-915055.4868202852,-915061.4894144356,-915060.3888948424,-962788.5527074938,-913959.4868202852,-882829.2868202853,-910055.4868202852
73,146000,-859723.4146196345,-861500.7232454893,-959993.917291812,-861075.3734877523,-858623.6146196345,-826940.6146196345,-854723.4146196345
74,148000,-959114.8697474278,-912561.643750093,-1019477.6170845884,-959962.0594793038,-957975.8697474278,-901417.2697474278,-954114.8697474278
75,150000,-918439.263645998,-961258.0908025728,-961259.6531640772,-918455.578148974,-917336.863645998,-704372.263645998,-913439.263645998
76,152000,-894469.2041716039,-940581.2763771666,-1000659.039831473,-894459.6919511736,-893370.8041716039,-855969.8041716039,-889469.2041716039
77,154000,-853079.5884064961,-855532.4931478673,-895650.6617148774,-858673.3165999632,-851974.9884064961,-640423.388406496,-848079.5884064961
78,156000,-880012.0585086903,-877658.9250329541,-880009.0349790168,-877660.2796216229,-878908.8585086904,-842048.0585086903,-875012.0585086903
79,158000,-855484.9544941408,-853689.589528788,-853694.3785404959,-950842.5485141427,-854379.3544941408,-642778.5544941408,-850484.9544941408
80,160000,-850665.0950059118,-949014.0677346018,-850671.1471335337,-891852.7917550282,-849562.2950059117,-819196.2950059117,-845665.0950059118
81,162000,-936870.5453385812,-939024.4140447862,-985074.4695491056,-1048497.0498746368,-935773.9453385812,-904438.1453385812,-931870.5453385812
82,164000,-864566.2824921838,-904969.4680855968,-862694.8352006644,-904791.7579013056,-863462.0824921839,-826125.6824921839,-859566.2824921838
83,166000,-928984.1703142652,-928988.9605471608,-886332.6796427123,-910865.1306741956,-927846.7703142652,-869970.7703142652,-923984.1703142652
84,168000,-912688.1474660118,-912685.0569735433,-1022660.7852834004,-912677.9348818436,-911590.9474660119,-875680.1474660118,-907688.1474660118
85,170000,-937822.6033045092,-893490.6481951374,-940401.8283821896,-982138.001403822,-936683.0033045092,-880745.8033045091,-932822.6033045092
86,172000,-868888.2761979796,-870976.4266123635,-868887.5374133962,-868885.0605605242,-867787.8761979796,-830334.4761979795,-863888.2761979796
87,174000,-922321.3258655168,-981431.9960173966,-977407.8520144868,-879855.7418815473,-921182.7258655168,-864367.5258655167,-917321.3258655168
88,176000,-924496.5008542392,-983871.241831146,-882711.8547066891,-880923.8351430626,-923360.1008542392,-865676.9008542392,-919496.5008542392
89,178000,-851435.1028769348,-849555.5524583338,-849547.1236722375,-890313.1971437087,-850330.1028769348,-637566.1028769348,-846435.1028769348
90,180000,-1060602.120733722,-947702.2698568716,-947889.0699537538,-947704.1976621272,-1059437.120733722,-964315.9207337222,-1055602.120733722
91,182000,-874966.1226545695,-877186.1192737705,-920292.7275227978,-891804.021136635,-873868.7226545694,-662250.5226545695,-869966.1226545695
92,184000,-919068.9304518818,-1029038.3603075872,-966196.936586233,-919074.7784535764,-917972.5304518818,-708081.7304518819,-914068.9304518818
93,186000,-925151.3772629777,-972947.8257488076,-925160.7147647291,-1029204.0704713628,-924054.5772629776,-711823.7772629777,-920151.3772629777
94,188000,-916214.6089928574,-916223.9952301148,-962104.9634599576,-917861.3619637012,-915117.4089928574,-701852.8089928573,-911214.6089928574
95,190000,-937457.1827032444,-881756.6013173142,-937451.0945721702,-846556.833559108,-936288.5827032444,-682642.9827032443,-932457.1827032444
96,192000,-904657.7964777316,-904649.7830994584,-904656.3464442174,-902298.337022135,-903555.7964777316,-866301.1964777316,-899657.7964777316
97,194000,-931696.2752075144,-929570.4954449036,-931699.1393792104,-931312.6625266272,-930598.8752075144,-893046.4752075144,-926696.2752075144
98,196000,-978325.7229472102,-877689.7014255638,-917164.9285697426,-919738.1567425128,-977158.9229472101,-882026.9229472101,-973325.7229472102
99,198000,-1003921.8329904656,-899597.9387430671,-900575.9470660961,-906785.5758132682,-1002754.2329904656,-907799.6329904655,-998921.8329904656
100,200000,-901655.5818144488,-899871.1635328081,-931676.6445363554,-1005293.027973882,-900557.7818144488,-862513.7818144488,-896655.5818144488
