episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates
71,142000,5.0,-0.028238,-0.175342,-0.028238,,,,0,False,-0.034552,0.07,0.029752234928309917,138,47931,138,2396,8.5318,6.2095,745,745,ok,,4.8757,26.9,5.9966,0.1204,0.9497,55.8721,0.5276,1.0505,10.4344,0.00366,0.8968,0.4807,731,88,2,0.285842,319467,1117635,3.4089,643,0,46832,100,0.00041,0.00448,138
72,144000,10.0,-0.031394,-0.186044,-0.031394,,,,0,False,-0.034552,0.0782,0.03530684858560562,309,48240,309,2412,7.6562,5.9261,1850,1850,ok,,4.4802,25.6,5.5307,0.122,1.0071,77.176,0.7532,1.0673,10.5055,0.009581,0.8969,0.637,1877,229,1,0.272994,595048,2179711,3.3146,1648,0,111141,201,0.001051,0.0056,309
73,146000,15.0,-0.036241,-0.216697,-0.036241,,,,0,False,-0.034552,0.0511,0.03718537837266922,361,48601,361,2430,7.6853,5.9794,2230,2228,ok,,4.2274,26.6,5.7856,0.1268,1.4785,83.0275,0.9295,1.6361,10.5481,0.011714,0.9233,0.5842,2272,288,2,0.262864,826298,3143442,4.711,1984,0,135043,244,0.001272,0.00672,361
74,148000,20.0,-0.036057,-0.226927,-0.036057,,,,0,False,-0.034552,0.061,0.035485412925481796,602,49203,602,2460,7.6753,6.2936,4176,4175,ok,,4.3921,28.2,6.2338,0.1976,1.4691,72.2782,1.2096,1.6452,10.4857,0.023759,0.9175,0.5574,4691,927,14,0.250588,1085677,4332521,4.6729,3764,0,266312,398,0.002628,0.00896,602
75,150000,25.0,-0.034157,-0.218442,-0.034157,,,,0,False,-0.034552,0.0406,0.03124082274734974,573,49776,573,2488,7.7317,6.3953,3806,3803,ok,,4.6847,27.1,6.1908,0.1497,1.3467,59.2668,1.0304,1.5476,10.5045,0.020638,0.905,0.6134,4056,607,8,0.255862,1369767,5353538,4.1025,3449,0,246458,349,0.002272,0.00896,573
76,152000,30.0,-0.036194,-0.221754,-0.036194,,,,0,False,-0.034552,0.0364,0.027537712827324867,705,50481,705,2524,7.15,6.1267,4724,4723,ok,,4.4772,29.6,6.0703,0.2807,1.3434,79.6084,0.8135,1.8293,10.4648,0.030404,0.9325,0.675,6042,1696,32,0.284895,1757661,6169496,3.8629,4346,0,293542,346,0.003384,0.01232,705
77,154000,35.0,-0.035764,-0.229486,-0.035764,,,,0,False,-0.034552,0.0468,0.02345418557524681,702,51183,702,2559,7.6977,6.4168,4747,4746,ok,,4.5235,29.4,6.3644,0.218,1.4742,83.2294,0.8213,1.9701,10.471,0.027945,0.9197,0.7158,5542,1208,12,0.292686,1850788,6323463,4.5346,4334,0,308650,400,0.003104,0.01232,702
78,156000,5.0,-0.027147,-0.204597,-0.027147,,,,0,False,-0.034552,0.0261,0.023605789057910442,126,51309,126,2565,9.502,7.5365,674,674,ok,,6.0607,28.9,6.9918,0.0775,1.21,66.7422,0.9117,1.3218,10.4867,0.003201,0.9185,0.628,632,49,0,0.281695,315809,1121103,4.3184,583,0,51321,91,0.000354,0.00448,126
79,158000,10.0,-0.027926,-0.209711,-0.027926,,,,0,False,-0.034552,0.0401,0.023785950616002083,199,51508,199,2575,10.2207,7.5096,1068,1068,ok,,5.8581,28.3,6.7251,0.0837,1.2777,46.313,0.9298,1.3679,10.4474,0.005043,0.9353,0.6573,1003,84,1,0.274529,562878,2050342,4.6244,919,0,81006,148,0.000562,0.0056,199
80,160000,15.0,-0.03334,-0.242153,-0.03334,-0.038124,-0.299086,20.0,2652,False,-0.034552,0.0599,0.029363399371504784,329,51837,329,2591,8.9453,7.2631,2073,2072,ok,,5.7536,31.5,6.7179,0.109,1.6508,137.2209,1.3609,1.7424,10.5132,0.01043,0.9044,0.5108,2046,223,1,0.267726,856148,3197855,4.9859,1823,0,152158,248,0.001146,0.00672,329
81,162000,20.0,-0.036272,-0.260683,-0.036272,,,,0,False,-0.034552,0.1067,0.0400388240814209,392,52229,392,2611,9.0658,7.1868,2500,2496,ok,,5.9017,32.0,6.7539,0.1159,1.8372,136.5362,1.229,2.055,10.5454,0.012827,0.8737,0.4564,2493,289,1,0.254013,1080802,4254914,5.2346,2204,0,181396,295,0.001396,0.00784,392
82,164000,25.0,-0.036766,-0.239885,-0.036766,,,,0,False,-0.034552,0.1192,0.04268629103899002,595,52824,595,2641,7.4234,6.5247,3953,3951,ok,,4.9434,32.7,6.4605,0.2202,1.6791,136.0547,1.1024,2.0791,10.5373,0.023657,0.9086,0.4496,4605,1014,16,0.256584,1365953,5323617,4.7412,3591,0,261197,346,0.002579,0.01008,595
83,166000,30.0,-0.036436,-0.231279,-0.036436,,,,0,False,-0.034552,0.0982,0.04687410593032837,717,53541,717,2677,7.3628,6.3476,5032,5028,ok,,4.9461,34.3,6.2283,0.2182,1.4648,111.3323,0.8752,1.9779,10.5263,0.030335,0.885,0.4638,5916,1291,15,0.285335,1730195,6063739,4.0842,4625,0,323587,392,0.003314,0.0112,717
84,168000,35.0,-0.032676,-0.210482,-0.032676,,,,0,False,-0.034552,0.0345,0.02787550538778305,710,54251,710,2712,7.3414,6.4415,4861,4856,ok,,4.7556,28.8,6.3681,0.2332,1.1961,100.9115,0.8,1.5838,10.5425,0.030189,0.9354,0.6535,5832,1360,21,0.300575,1925702,6406731,3.7571,4472,0,317094,368,0.003266,0.0112,710
85,170000,5.0,-0.029905,-0.210067,-0.029905,,,,0,False,-0.034552,0.0423,0.0265839621424675,117,54368,117,2718,9.5303,7.0246,616,615,ok,,5.2296,31.1,6.7552,0.1054,1.3764,101.1785,1.1464,1.4284,10.5117,0.002952,0.8867,0.5195,579,61,1,0.290133,315793,1088442,5.6156,518,0,43654,96,0.000324,0.00336,117
86,172000,10.0,-0.029123,-0.215309,-0.029123,,,,0,False,-0.034552,0.0345,0.024283356964588165,197,54565,197,2728,9.5856,7.3932,1062,1061,ok,,5.5086,31.7,6.9534,0.1302,1.2773,47.9606,0.8662,1.3966,10.4893,0.005328,0.8984,0.4449,1052,137,1,0.277013,567362,2048141,4.5091,915,0,79255,146,0.000589,0.0056,197
87,174000,15.0,-0.032852,-0.228507,-0.032852,,,,0,False,-0.034552,0.042,0.024126021191477776,380,54945,380,2747,8.2877,6.9556,2422,2420,ok,,5.1841,34.0,6.8192,0.1347,1.51,93.1848,1.1798,1.639,10.7114,0.013493,0.9096,0.6822,2464,332,2,0.269463,870081,3228941,5.2629,2132,0,170272,287,0.00138,0.00672,380
88,176000,20.0,-0.034358,-0.239704,-0.034358,,,,0,False,-0.034552,0.0595,0.024954140186309814,509,55454,509,2772,8.0116,6.9766,3416,3416,ok,,5.6233,34.2,6.9464,0.1432,1.5371,103.144,1.1404,1.716,10.7112,0.019463,0.8867,0.633,3562,510,2,0.26207,1115733,4257393,5.0022,3052,0,241159,362,0.001999,0.00784,509
89,178000,25.0,-0.035657,-0.229789,-0.035657,,,,0,False,-0.034552,0.0519,0.03560490906238556,641,56095,641,2804,7.3722,6.4445,4408,4405,ok,,5.0354,36.0,6.4473,0.1997,1.4601,132.1693,1.0231,1.8308,10.5895,0.026103,0.9062,0.5818,4978,994,18,0.24706,1330193,5384097,4.4164,3984,0,287664,405,0.002788,0.01456,641
90,180000,30.0,-0.036251,-0.222596,-0.036251,-0.035232,-0.190556,20.0,3825,False,-0.034552,0.1274,0.03273775428533554,637,56732,637,2836,7.0437,6.1404,4369,4365,ok,,4.7294,34.2,6.14,0.2589,1.4822,86.7485,0.871,2.0287,10.4343,0.026911,0.9088,0.6794,5381,1393,22,0.280733,1698000,6048458,4.0736,3988,0,271843,359,0.003014,0.0112,637
91,182000,35.0,-0.035222,-0.22069,-0.035222,,,,0,False,-0.034552,0.0629,0.02979445457458496,781,57513,781,2875,7.3167,6.2656,5132,5129,ok,,4.8952,34.8,6.1105,0.2269,1.3779,78.7003,0.9601,1.7794,10.4668,0.030792,0.9151,0.6893,6112,1387,24,0.301695,1869959,6198177,4.0139,4725,0,325909,383,0.003423,0.01232,781
92,184000,5.0,-0.027011,-0.174879,-0.027011,,,,0,False,-0.034552,0.0486,0.027880480512976646,111,57624,111,2881,9.2036,6.4744,528,527,ok,,5.5718,30.8,6.0133,0.0692,1.1033,46.6396,0.6608,1.224,10.5355,0.002536,0.881,0.6246,491,34,0,0.281648,306095,1086801,4.366,457,0,34520,71,0.000275,0.00336,111
93,186000,10.0,-0.031541,-0.224842,-0.031541,,,,0,False,-0.034552,0.0762,0.02570025436580181,236,57860,236,2893,9.7347,7.1286,1357,1356,ok,,6.007,35.9,6.556,0.1131,1.4368,81.2026,1.1719,1.523,10.4434,0.00668,0.8786,0.5772,1335,151,1,0.27219,605950,2226204,4.6674,1184,0,97719,172,0.000748,0.00672,236
94,188000,15.0,-0.033117,-0.225594,-0.033117,,,,0,False,-0.034552,0.0558,0.029932500794529915,293,58153,293,2907,9.151,6.812,1810,1809,ok,,5.739,33.4,6.3353,0.1129,1.5683,100.444,0.9385,1.7877,10.5381,0.00923,0.8599,0.5347,1780,201,0,0.265781,867898,3265460,5.1085,1579,0,124644,231,0.000998,0.00672,293
95,190000,20.0,-0.031543,-0.217753,-0.031543,,,,0,False,-0.034552,0.0619,0.030556765384972095,394,58547,394,2927,8.8439,6.9034,2497,2495,ok,,5.7122,35.2,6.3997,0.1267,1.4466,53.9584,1.0172,1.6653,10.4892,0.012797,0.8807,0.5994,2526,320,3,0.262563,1111279,4232425,4.7509,2206,0,174255,288,0.001415,0.00784,394
96,192000,25.0,-0.034456,-0.253566,-0.034456,,,,0,False,-0.034552,0.0614,0.03279984928667545,498,59045,498,2952,8.9471,7.3592,3243,3241,ok,,5.6996,34.5,7.0325,0.1779,1.717,69.5358,1.2918,1.9502,10.4902,0.017834,0.9067,0.4894,3518,626,6,0.248287,1288338,5188896,5.5249,2892,0,241198,345,0.00197,0.00896,498
97,194000,30.0,-0.03516,-0.229132,-0.03516,,,,0,False,-0.034552,0.0549,0.03712041117250919,648,59693,648,2984,7.769,6.5168,4424,4421,ok,,5.2474,38.1,6.3322,0.2272,1.4413,72.2657,1.0664,1.7818,10.4802,0.026567,0.8935,0.7385,5252,1193,16,0.288191,1783028,6186966,4.0956,4059,0,291982,349,0.002941,0.0112,648
98,196000,35.0,-0.034077,-0.238121,-0.034077,,,,0,False,-0.034552,0.0757,0.032020291313529015,704,60397,704,3019,8.183,6.9877,4862,4858,ok,,5.9328,36.7,6.7311,0.2232,1.4912,56.6835,1.0407,1.9489,10.4572,0.028613,0.8952,0.7673,5698,1272,13,0.295248,1877368,6358610,4.3508,4426,0,343686,423,0.003192,0.01344,704
99,198000,5.0,-0.026935,-0.194168,-0.026935,,,,0,False,-0.034552,0.0523,0.03267280198633671,134,60531,134,3026,10.0588,7.2087,733,733,ok,,5.8396,32.5,6.6479,0.0971,1.1285,52.4687,1.1313,1.1278,10.5039,0.003573,0.8965,0.6333,700,68,0,0.28664,304377,1061878,4.388,632,0,53396,101,0.000393,0.00336,134
100,200000,10.0,-0.02952,-0.250021,-0.02952,-0.03447,-0.263186,20.0,2724,True,-0.03447,0.0529,0.03612487018108368,169,60700,169,3035,12.37,8.4695,903,903,ok,,6.3607,32.7,7.7374,0.0978,1.5503,55.5791,1.0915,1.6507,10.4994,0.004116,0.9155,0.451,808,79,0,0.282474,573191,2029179,6.2117,729,0,77088,174,0.000452,0.00448,169
