저널 IF 랭킹 600,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
npj Flexible Electronics,NPJ FLEX ELECTRON,NATURE PORTFOLIO,,2397-4621,"ENGINEERING, ELECTRICAL & ELECTRONIC",15.4,7/369,0.018970189701897018,불일치 (반도체/전자 소자 하드웨어 주력)
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,IEEE,1057-7149,1941-0042,"ENGINEERING, ELECTRICAL & ELECTRONIC",15.3,8/369,0.02168021680216802,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,WIRES DATA MIN KNOWL,WILEY,1942-4787,1942-4795,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",15,11/210,0.05238095238095238,가능 (서베이/매거진 형식으로 작성)
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,ELSEVIER,1361-8415,1361-8423,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",14,12/210,0.05714285714285714,불일치 (의료/생명과학 주력)
Protection and Control of Modern Power Systems,PROT CONTR MOD POW,Power System Protection & Control Press,2367-2617,2367-0983,"ENGINEERING, ELECTRICAL & ELECTRONIC",13.8,9/369,0.024390243902439025,불일치 (배터리/전력망/에너지 하드웨어 주력)
IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,IEEE,1536-1284,1558-0687,"COMPUTER SCIENCE, INFORMATION SYSTEMS",13.4,4/266,0.015037593984962405,적합
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,MIT PRESS,0891-2017,1530-9312,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",13.4,13/210,0.06190476190476191,불일치 (자연어/음성 처리 주력)
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,SPRINGER,1134-3060,1886-1784,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",12.9,1/137,0.0072992700729927005,가능 (세부 논문 방향에 따라 융합 포장 필요)
Communications in Transportation Research,COMMUN TRANSP RES,TSINGHUA UNIV PRESS,2097-5023,2772-4247,TRANSPORTATION SCIENCE & TECHNOLOGY,12.7,3/80,0.0375,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,IEEE,0278-0062,1558-254X,"ENGINEERING, ELECTRICAL & ELECTRONIC",12.4,11/369,0.02981029810298103,불일치 (의료/생명과학 주력)
Satellite Navigation,SATELLITE NAVIG,SPRINGERNATURE,2662-9291,2662-1363,TELECOMMUNICATIONS,12.4,4/127,0.031496062992125984,가능 (세부 논문 방향에 따라 융합 포장 필요)
Business & Information Systems Engineering,BUS INFORM SYST ENG+,SPRINGER VIEWEG-SPRINGER FACHMEDIEN WIESBADEN GMBH,2363-7005,1867-0202,"COMPUTER SCIENCE, INFORMATION SYSTEMS",12.2,5/266,0.018796992481203006,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
Transactions of the Association for Computational Linguistics,T ASSOC COMPUT LING,MIT PRESS,,2307-387X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",11.7,15/210,0.07142857142857142,불일치 (자연어/음성 처리 주력)
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,IEEE COMPUTER SOC,1041-4347,1558-2191,"COMPUTER SCIENCE, INFORMATION SYSTEMS",11.6,6/266,0.022556390977443608,가능 (RSU/차량 간 분산 데이터 처리 아키텍처 강조)
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,ELSEVIER SCI LTD,1474-0346,1873-5320,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",11.5,17/210,0.08095238095238096,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE Transactions on Affective Computing,IEEE T AFFECT COMPUT,IEEE,1949-3045,1949-3045,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",11.3,18/210,0.08571428571428572,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,IEEE,2168-2267,2168-2275,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",11.3,18/210,0.08571428571428572,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,ASSOC COMPUTING MACHINERY,1046-8188,1558-2868,"COMPUTER SCIENCE, INFORMATION SYSTEMS",11.2,7/266,0.02631578947368421,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,IEEE T CIRC SYST VID,IEEE,1051-8215,1558-2205,"ENGINEERING, ELECTRICAL & ELECTRONIC",10.8,13/369,0.03523035230352303,불일치 (반도체/전자 소자 하드웨어 주력)
IEEE SIGNAL PROCESSING MAGAZINE,IEEE SIGNAL PROC MAG,IEEE,1053-5888,1558-0792,"ENGINEERING, ELECTRICAL & ELECTRONIC",10.8,13/369,0.03523035230352303,가능 (서베이/매거진 형식으로 작성)
PROGRESS IN QUANTUM ELECTRONICS,PROG QUANT ELECTRON,PERGAMON-ELSEVIER SCIENCE LTD,0079-6727,1873-1627,"ENGINEERING, ELECTRICAL & ELECTRONIC",10.8,13/369,0.03523035230352303,불일치 (양자/광학 물리 주력)
ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,ASSOC COMPUTING MACHINERY,2157-6904,2157-6912,"COMPUTER SCIENCE, INFORMATION SYSTEMS",10.7,9/266,0.03383458646616541,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,IEEE T WIREL COMMUN,IEEE,1536-1276,1558-2248,TELECOMMUNICATIONS,10.3,5/127,0.03937007874015748,적합
IEEE Transactions on Sustainable Energy,IEEE T SUSTAIN ENERG,IEEE,1949-3029,1949-3037,"ENGINEERING, ELECTRICAL & ELECTRONIC",10.3,16/369,0.04336043360433604,불일치 (배터리/전력망/에너지 하드웨어 주력)
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,SPRINGER,0920-5691,1573-1405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",10.3,22/210,0.10476190476190476,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,IEEE,1063-6706,1941-0034,"ENGINEERING, ELECTRICAL & ELECTRONIC",10.2,18/369,0.04878048780487805,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
IEEE Transactions on Smart Grid,IEEE T SMART GRID,IEEE,1949-3053,1949-3061,"ENGINEERING, ELECTRICAL & ELECTRONIC",10.1,19/369,0.051490514905149054,불일치 (배터리/전력망/에너지 하드웨어 주력)
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,IEEE,1520-9210,1941-0077,"COMPUTER SCIENCE, INFORMATION SYSTEMS",9.9,10/266,0.03759398496240601,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
Annual Review of Statistics and Its Application,ANNU REV STAT APPL,ANNUAL REVIEWS,2326-8298,2326-831X,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",9.8,2/137,0.014598540145985401,가능 (서베이/매거진 형식으로 작성)
IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,IEEE,2162-237X,2162-2388,"ENGINEERING, ELECTRICAL & ELECTRONIC",9.7,21/369,0.056910569105691054,적합
ACM Transactions on Computer-Human Interaction,ACM T COMPUT-HUM INT,ASSOC COMPUTING MACHINERY,1073-0516,1557-7325,"COMPUTER SCIENCE, INFORMATION SYSTEMS",9.6,11/266,0.041353383458646614,가능 (통신 시스템/알고리즘 기여도 어필)
Swarm and Evolutionary Computation,SWARM EVOL COMPUT,ELSEVIER,2210-6502,2210-6510,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",9.6,27/210,0.12857142857142856,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,IEEE T GEOSCI REMOTE,IEEE,0196-2892,1558-0644,"ENGINEERING, ELECTRICAL & ELECTRONIC",9.4,22/369,0.05962059620596206,가능 (UAV 및 위성 원격탐사 네트워크 연계 관점 필수)
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,PERGAMON-ELSEVIER SCIENCE LTD,0957-4174,1873-6793,"ENGINEERING, ELECTRICAL & ELECTRONIC",9.4,22/369,0.05962059620596206,적합
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,PERGAMON-ELSEVIER SCIENCE LTD,1366-5545,1878-5794,TRANSPORTATION SCIENCE & TECHNOLOGY,9.3,5/80,0.0625,가능 (서베이/매거진 형식으로 작성)
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,ELSEVIER SCIENCE INC,1093-9687,1467-8667,TRANSPORTATION SCIENCE & TECHNOLOGY,9.2,6/80,0.075,불일치 (토목/건축 구조물 주력)
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,ELSEVIER,0963-8687,1873-1198,"COMPUTER SCIENCE, INFORMATION SYSTEMS",9.1,12/266,0.045112781954887216,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,IEEE T INTELL TRANSP,IEEE,1524-9050,1558-0016,"ENGINEERING, ELECTRICAL & ELECTRONIC",9.1,25/369,0.06775067750677506,적합
PATTERN RECOGNITION,PATTERN RECOGN,ELSEVIER SCI LTD,0031-3203,1873-5142,"ENGINEERING, ELECTRICAL & ELECTRONIC",9.1,25/369,0.06775067750677506,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENG APPL ARTIF INTEL,PERGAMON-ELSEVIER SCIENCE LTD,0952-1976,1873-6769,"ENGINEERING, ELECTRICAL & ELECTRONIC",9,27/369,0.07317073170731707,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
IEEE TRANSACTIONS ON MOBILE COMPUTING,IEEE T MOBILE COMPUT,IEEE COMPUTER SOC,1536-1233,1558-0660,"COMPUTER SCIENCE, INFORMATION SYSTEMS",8.8,14/266,0.05263157894736842,적합
IEEE NETWORK,IEEE NETWORK,IEEE,0890-8044,1558-156X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",8.8,14/266,0.05263157894736842,적합
IEEE Internet of Things Journal,IEEE INTERNET THINGS,IEEE,2327-4662,2327-4662,"COMPUTER SCIENCE, INFORMATION SYSTEMS",8.7,16/266,0.06015037593984962,적합
JOURNAL OF INFORMATION TECHNOLOGY,J INF TECHNOL-UK,SAGE PUBLICATIONS LTD,0268-3962,1466-4437,"COMPUTER SCIENCE, INFORMATION SYSTEMS",8.7,16/266,0.06015037593984962,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE TRANSACTIONS ON POWER SYSTEMS,IEEE T POWER SYST,IEEE,0885-8950,1558-0679,"ENGINEERING, ELECTRICAL & ELECTRONIC",8.7,29/369,0.07859078590785908,불일치 (배터리/전력망/에너지 하드웨어 주력)
IEEE Transactions on Information Forensics and Security,IEEE T INF FOREN SEC,IEEE,1556-6013,1556-6021,"ENGINEERING, ELECTRICAL & ELECTRONIC",8.7,29/369,0.07859078590785908,가능 (통신 시스템/알고리즘 기여도 어필)
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,TRANSPORT RES D-TR E,PERGAMON-ELSEVIER SCIENCE LTD,1361-9209,1879-2340,TRANSPORTATION SCIENCE & TECHNOLOGY,8.7,8/80,0.1,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
IEEE Journal of Selected Topics in Signal Processing,IEEE J-STSP,IEEE,1932-4553,1941-0484,"ENGINEERING, ELECTRICAL & ELECTRONIC",8.5,33/369,0.08943089430894309,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE Vehicular Technology Magazine,IEEE VEH TECHNOL MAG,IEEE,1556-6072,1556-6080,"ENGINEERING, ELECTRICAL & ELECTRONIC",8.5,33/369,0.08943089430894309,가능 (서베이/매거진 형식으로 작성)
IEEE Transactions on Transportation Electrification,IEEE T TRANSP ELECTR,IEEE,2332-7782,2332-7782,"ENGINEERING, ELECTRICAL & ELECTRONIC",8.5,33/369,0.08943089430894309,불일치 (배터리/전력망/에너지 하드웨어 주력)
IEEE TRANSACTIONS ON COMMUNICATIONS,IEEE T COMMUN,IEEE,0090-6778,1558-0857,"ENGINEERING, ELECTRICAL & ELECTRONIC",8.4,36/369,0.0975609756097561,가능 (통신 시스템/알고리즘 기여도 어필)
TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,TRANSPORT RES C-EMER,PERGAMON-ELSEVIER SCIENCE LTD,0968-090X,1879-2359,TRANSPORTATION SCIENCE & TECHNOLOGY,8.4,11/80,0.1375,적합
IEEE COMMUNICATIONS MAGAZINE,IEEE COMMUN MAG,IEEE,0163-6804,1558-1896,"ENGINEERING, ELECTRICAL & ELECTRONIC",8.3,38/369,0.10298102981029811,가능 (서베이/매거진 형식으로 작성)
SIAM REVIEW,SIAM REV,SIAM PUBLICATIONS,0036-1445,1095-7200,"MATHEMATICS, APPLIED",8.2,1/345,0.002898550724637681,가능 (서베이/매거진 형식으로 작성)
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,EUR J INFORM SYST,TAYLOR & FRANCIS LTD,0960-085X,1476-9344,"COMPUTER SCIENCE, INFORMATION SYSTEMS",8.1,18/266,0.06766917293233082,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
INFORMATION PROCESSING & MANAGEMENT,INFORM PROCESS MANAG,ELSEVIER SCI LTD,0306-4573,1873-5371,"COMPUTER SCIENCE, INFORMATION SYSTEMS",8.1,18/266,0.06766917293233082,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
IEEE Transactions on Big Data,IEEE T BIG DATA,IEEE,2332-7790,2332-7790,"COMPUTER SCIENCE, INFORMATION SYSTEMS",8.1,18/266,0.06766917293233082,가능 (RSU/차량 간 분산 데이터 처리 아키텍처 강조)
Science China-Information Sciences,SCI CHINA INFORM SCI,SCIENCE PRESS,1674-733X,1869-1919,"COMPUTER SCIENCE, INFORMATION SYSTEMS",8.1,18/266,0.06766917293233082,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE Transactions on Cognitive Communications and Networking,IEEE T COGN COMMUN,IEEE,2332-7731,2332-7731,TELECOMMUNICATIONS,8,15/127,0.11811023622047244,적합
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST,ELSEVIER,0950-7051,1872-7409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",8,34/210,0.1619047619047619,가능 (RSU/차량 간 분산 데이터 처리 아키텍처 강조)
Journal of Cheminformatics,J CHEMINFORMATICS,BMC,1758-2946,1758-2946,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7.9,22/266,0.08270676691729323,불일치 (의료/생명과학 주력)
Artificial Intelligence in Medicine,ARTIF INTELL MED,ELSEVIER,0933-3657,1873-2860,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7.8,35/210,0.16666666666666666,불일치 (의료/생명과학 주력)
APPLIED SOFT COMPUTING,APPL SOFT COMPUT,ELSEVIER,1568-4946,1872-9681,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7.8,35/210,0.16666666666666666,적합
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,IEEE,2168-2194,2168-2208,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7.7,23/266,0.08646616541353383,불일치 (의료/생명과학 주력)
IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,IEEE,1556-603X,1556-6048,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7.7,37/210,0.1761904761904762,가능 (서베이/매거진 형식으로 작성)
JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF,SPRINGER,0956-5515,1572-8145,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7.7,37/210,0.1761904761904762,가능 (스마트 팩토리/산업용 IoT 인프라로 환경 설정)
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,ELSEVIER SCIENCE SA,0045-7825,1879-2138,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",7.6,3/137,0.021897810218978103,불일치 (전산 역학/음향 물리 주력)
Journal of the Association for Information Systems,J ASSOC INF SYST,ASSOC INFORMATION SYSTEMS,1536-9323,1558-3457,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7.5,24/266,0.09022556390977443,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,ELSEVIER,0167-9236,1873-5797,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7.5,24/266,0.09022556390977443,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,IEEE T VEH TECHNOL,IEEE,0018-9545,1939-9359,"ENGINEERING, ELECTRICAL & ELECTRONIC",7.5,41/369,0.1111111111111111,적합
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,IEEE T IND ELECTRON,IEEE,0278-0046,1557-9948,"ENGINEERING, ELECTRICAL & ELECTRONIC",7.4,42/369,0.11382113821138211,가능 (스마트 팩토리/산업용 IoT 인프라로 환경 설정)
Cognitive Computation,COGN COMPUT,SPRINGER,1866-9956,1866-9964,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7.4,40/210,0.19047619047619047,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE Transactions on Network Science and Engineering,IEEE T NETW SCI ENG,IEEE COMPUTER SOC,2327-4697,2327-4697,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",7.3,4/137,0.029197080291970802,적합
MIS QUARTERLY,MIS QUART,SOC INFORM MANAGE-MIS RES CENT,0276-7783,,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7.3,27/266,0.10150375939849623,가능 (세부 논문 방향에 따라 융합 포장 필요)
Frontiers of Computer Science,FRONT COMPUT SCI-CHI,HIGHER EDUCATION PRESS,2095-2228,2095-2236,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7.3,27/266,0.10150375939849623,가능 (통신 시스템/알고리즘 기여도 어필)
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,J MANAGE INFORM SYST,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0742-1222,1557-928X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7.2,29/266,0.10902255639097744,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
Internet Research,INTERNET RES,EMERALD GROUP PUBLISHING LTD,1066-2243,1066-2243,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7.2,29/266,0.10902255639097744,가능 (세부 논문 방향에 따라 융합 포장 필요)
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,TRANSPORT RES A-POL,PERGAMON-ELSEVIER SCIENCE LTD,0965-8564,1879-2375,TRANSPORTATION SCIENCE & TECHNOLOGY,7.2,14/80,0.175,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
NEURAL NETWORKS,NEURAL NETWORKS,PERGAMON-ELSEVIER SCIENCE LTD,0893-6080,1879-2782,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7.2,41/210,0.19523809523809524,적합
IEEE TRANSACTIONS ON POWER ELECTRONICS,IEEE T POWER ELECTR,IEEE,0885-8993,1941-0107,"ENGINEERING, ELECTRICAL & ELECTRONIC",7.1,43/369,0.11653116531165311,불일치 (배터리/전력망/에너지 하드웨어 주력)
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,OXFORD UNIV PRESS,1067-5027,1527-974X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7.1,31/266,0.11654135338345864,불일치 (의료/생명과학 주력)
Internet of Things,INTERNET THINGS-NETH,ELSEVIER,2543-1536,2542-6605,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7.1,31/266,0.11654135338345864,적합
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,IEEE T AERO ELEC SYS,IEEE,0018-9251,1557-9603,"ENGINEERING, ELECTRICAL & ELECTRONIC",7,45/369,0.12195121951219512,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,IEEE T AUTOMAT CONTR,IEEE,0018-9286,1558-2523,"ENGINEERING, ELECTRICAL & ELECTRONIC",7,45/369,0.12195121951219512,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,IEEE T INSTRUM MEAS,IEEE,0018-9456,1557-9662,"ENGINEERING, ELECTRICAL & ELECTRONIC",7,45/369,0.12195121951219512,가능 (세부 논문 방향에 따라 융합 포장 필요)
INFORMATION & MANAGEMENT,INFORM MANAGE-AMSTER,ELSEVIER,0378-7206,1872-7530,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7,33/266,0.12406015037593984,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
ACM Transactions on Knowledge Discovery from Data,ACM T KNOWL DISCOV D,ASSOC COMPUTING MACHINERY,1556-4681,1556-472X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6.9,34/266,0.12781954887218044,가능 (RSU/차량 간 분산 데이터 처리 아키텍처 강조)
IEEE Transactions on Green Communications and Networking,IEEE T GREEN COMMUN,IEEE,2473-2400,2473-2400,TELECOMMUNICATIONS,6.9,20/127,0.15748031496062992,적합
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,IEEE COMPUTER SOC,1545-5971,1941-0018,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6.8,35/266,0.13157894736842105,가능 (통신 시스템/알고리즘 기여도 어필)
COMPUTERS & SECURITY,COMPUT SECUR,ELSEVIER ADVANCED TECHNOLOGY,0167-4048,1872-6208,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6.8,35/266,0.13157894736842105,가능 (통신 시스템/알고리즘 기여도 어필)
Electronic Commerce Research and Applications,ELECTRON COMMER R A,ELSEVIER,1567-4223,1873-7846,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6.8,35/266,0.13157894736842105,가능 (세부 논문 방향에 따라 융합 포장 필요)
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES,MICROTOME PUBL,1532-4435,,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6.8,42/210,0.2,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
Progress in Electromagnetics Research-PIER,PROG ELECTROMAGN RES,EMW PUBLISHING,1070-4698,1559-8985,"ENGINEERING, ELECTRICAL & ELECTRONIC",6.7,48/369,0.13008130081300814,가능 (세부 논문 방향에 따라 융합 포장 필요)
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,SPRINGER,1568-4539,1573-2908,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6.7,43/210,0.20476190476190476,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
