Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
44,88000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
45,90000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
46,92000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
47,94000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
48,96000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
49,98000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
50,100000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
51,102000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
52,104000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
53,106000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
54,108000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
55,110000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
56,112000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
57,114000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
58,116000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
59,118000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
60,120000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
61,122000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
62,124000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
63,126000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
64,128000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
65,130000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
66,132000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
67,134000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
68,136000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
69,138000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
70,140000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
71,142000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
72,144000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
73,146000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
74,148000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
75,150000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
76,152000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
77,154000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
78,156000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
79,158000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
80,160000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
81,162000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
82,164000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
83,166000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
84,168000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
85,170000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
86,172000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
87,174000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
88,176000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
89,178000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
90,180000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
91,182000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
92,184000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
93,186000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
94,188000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
95,190000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
96,192000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
97,194000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
98,196000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
99,198000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
100,200000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
