path,model_index,model,density,stage,regenerated,gen_rng_before,gen_rng_after,V_MAX_OBS,V_LIMIT,E_REF,DELTA_MAX
evaluation,3,MADDPG-MT,35.0,,1,35b3cbb737cf,ab4c9b23f612,15.9,13.25,13.25,45.0
evaluation,4,PPO,5.0,,1,ab4c9b23f612,b23b73ac952c,15.9,13.25,13.25,45.0
evaluation,4,PPO,10.0,,1,b23b73ac952c,a7ea0b102f9a,15.924,13.27,13.27,45.0
evaluation,4,PPO,15.0,,1,a7ea0b102f9a,1dd24e7a7972,15.996,13.33,13.33,45.0
evaluation,4,PPO,20.0,,1,1dd24e7a7972,f491a84af0dc,15.984,13.32,13.32,45.0
evaluation,4,PPO,25.0,,1,f491a84af0dc,fbf19edfe4d9,15.972,13.31,13.31,45.0
evaluation,4,PPO,30.0,,1,fbf19edfe4d9,6e5b87a45c15,15.864,13.22,13.22,45.0
evaluation,4,PPO,35.0,,1,6e5b87a45c15,1c8a78fb3c7c,15.936,13.28,13.28,45.0
evaluation,5,RES-MAPDDPG,5.0,,1,1c8a78fb3c7c,e6b924bd15c1,15.948,13.29,13.29,45.0
evaluation,5,RES-MAPDDPG,10.0,,1,e6b924bd15c1,1a105dd88031,15.972,13.31,13.31,45.0
evaluation,5,RES-MAPDDPG,15.0,,1,1a105dd88031,b63358aa4cbd,15.996,13.33,13.33,45.0
evaluation,5,RES-MAPDDPG,20.0,,1,b63358aa4cbd,add03223a15d,15.972,13.31,13.31,45.0
evaluation,5,RES-MAPDDPG,25.0,,1,add03223a15d,25148ebd0367,15.936,13.28,13.28,45.0
evaluation,5,RES-MAPDDPG,30.0,,1,25148ebd0367,2df0b2e0fe57,15.996,13.33,13.33,45.0
evaluation,5,RES-MAPDDPG,35.0,,1,2df0b2e0fe57,f3e8c2947264,15.972,13.31,13.31,45.0
evaluation,6,SAC,5.0,,1,f3e8c2947264,40d724068733,15.984,13.32,13.32,45.0
evaluation,6,SAC,10.0,,1,40d724068733,166a214f632b,15.948,13.29,13.29,45.0
evaluation,6,SAC,15.0,,1,166a214f632b,dfaf62da74ca,15.876,13.23,13.23,45.0
evaluation,6,SAC,20.0,,1,dfaf62da74ca,d00f31bf45d2,15.984,13.32,13.32,45.0
evaluation,6,SAC,25.0,,1,d00f31bf45d2,6feeeb8b772c,15.972,13.31,13.31,45.0
evaluation,6,SAC,30.0,,1,6feeeb8b772c,439d0c2a2023,15.948,13.29,13.29,45.0
evaluation,6,SAC,35.0,,1,439d0c2a2023,03b6e5400072,15.984,13.32,13.32,45.0
evaluation,7,SPAM-D3QN,5.0,,1,03b6e5400072,58a6b6100c4f,15.948,13.29,13.29,45.0
evaluation,7,SPAM-D3QN,10.0,,1,58a6b6100c4f,0af8cf085bed,15.948,13.29,13.29,45.0
evaluation,7,SPAM-D3QN,15.0,,1,0af8cf085bed,6763f855de19,15.984,13.32,13.32,45.0
evaluation,7,SPAM-D3QN,20.0,,1,6763f855de19,286c353980b1,15.96,13.3,13.3,45.0
evaluation,7,SPAM-D3QN,25.0,,1,286c353980b1,6b8f16e7623a,15.984,13.32,13.32,45.0
evaluation,7,SPAM-D3QN,30.0,,1,6b8f16e7623a,adeefbcbb332,15.912,13.26,13.26,45.0
evaluation,7,SPAM-D3QN,35.0,,1,adeefbcbb332,5b994f4cbb1f,15.972,13.31,13.31,45.0
evaluation,8,TD3,5.0,,1,5b994f4cbb1f,d673a9ce0c88,15.996,13.33,13.33,45.0
evaluation,8,TD3,10.0,,1,d673a9ce0c88,c06ed463bac0,15.876,13.23,13.23,45.0
evaluation,8,TD3,15.0,,1,c06ed463bac0,d2e3591cf2bc,15.936,13.28,13.28,45.0
evaluation,8,TD3,20.0,,1,d2e3591cf2bc,c3300a2d72dc,15.936,13.28,13.28,45.0
evaluation,8,TD3,25.0,,1,c3300a2d72dc,c23944d6a69c,15.996,13.33,13.33,45.0
evaluation,8,TD3,30.0,,1,c23944d6a69c,c654f5f5b4d8,15.984,13.32,13.32,45.0
evaluation,8,TD3,35.0,,1,c654f5f5b4d8,7a064a1aad5b,15.972,13.31,13.31,45.0
training,0,HOORL,5.0,prepare_scenario,1,a52169fac48a,58de13ec412b,15.984,13.32,13.32,45.0
training,0,HOORL,10.0,episode,1,58de13ec412b,6819248fefe7,15.972,13.31,13.31,45.0
training,0,HOORL,15.0,episode,1,6819248fefe7,3593fb52a44e,15.996,13.33,13.33,45.0
training,0,HOORL,20.0,episode,1,3593fb52a44e,66e28692c84e,15.996,13.33,13.33,45.0
training,0,HOORL,25.0,episode,1,66e28692c84e,dc822841848a,15.996,13.33,13.33,45.0
training,0,HOORL,30.0,episode,1,dc822841848a,d3254fe0bd03,15.876,13.23,13.23,45.0
training,0,HOORL,35.0,episode,1,d3254fe0bd03,13d6d55eb07c,15.972,13.31,13.31,45.0
training,1,I-HAMAPPO,5.0,prepare_scenario,1,13d6d55eb07c,58de13ec412b,15.984,13.32,13.32,45.0
training,1,I-HAMAPPO,10.0,episode,1,58de13ec412b,6819248fefe7,15.972,13.31,13.31,45.0
training,1,I-HAMAPPO,15.0,episode,1,6819248fefe7,3593fb52a44e,15.996,13.33,13.33,45.0
training,1,I-HAMAPPO,20.0,episode,1,3593fb52a44e,66e28692c84e,15.996,13.33,13.33,45.0
training,1,I-HAMAPPO,25.0,episode,1,66e28692c84e,dc822841848a,15.996,13.33,13.33,45.0
training,1,I-HAMAPPO,30.0,episode,1,dc822841848a,d3254fe0bd03,15.876,13.23,13.23,45.0
training,1,I-HAMAPPO,35.0,episode,1,d3254fe0bd03,13d6d55eb07c,15.972,13.31,13.31,45.0
training,2,MA2HDQN,5.0,prepare_scenario,1,13d6d55eb07c,58de13ec412b,15.984,13.32,13.32,45.0
training,2,MA2HDQN,10.0,episode,1,58de13ec412b,6819248fefe7,15.972,13.31,13.31,45.0
training,2,MA2HDQN,15.0,episode,1,6819248fefe7,3593fb52a44e,15.996,13.33,13.33,45.0
training,2,MA2HDQN,20.0,episode,1,3593fb52a44e,66e28692c84e,15.996,13.33,13.33,45.0
training,2,MA2HDQN,25.0,episode,1,66e28692c84e,dc822841848a,15.996,13.33,13.33,45.0
training,2,MA2HDQN,30.0,episode,1,dc822841848a,d3254fe0bd03,15.876,13.23,13.23,45.0
training,2,MA2HDQN,35.0,episode,1,d3254fe0bd03,13d6d55eb07c,15.972,13.31,13.31,45.0
training,3,MADDPG-MT,5.0,prepare_scenario,1,13d6d55eb07c,58de13ec412b,15.984,13.32,13.32,45.0
training,3,MADDPG-MT,10.0,episode,1,58de13ec412b,6819248fefe7,15.972,13.31,13.31,45.0
training,3,MADDPG-MT,15.0,episode,1,6819248fefe7,3593fb52a44e,15.996,13.33,13.33,45.0
training,3,MADDPG-MT,20.0,episode,1,3593fb52a44e,66e28692c84e,15.996,13.33,13.33,45.0
training,3,MADDPG-MT,25.0,episode,1,66e28692c84e,dc822841848a,15.996,13.33,13.33,45.0
training,3,MADDPG-MT,30.0,episode,1,dc822841848a,d3254fe0bd03,15.876,13.23,13.23,45.0
training,3,MADDPG-MT,35.0,episode,1,d3254fe0bd03,13d6d55eb07c,15.972,13.31,13.31,45.0
training,4,PPO,5.0,prepare_scenario,1,13d6d55eb07c,58de13ec412b,15.984,13.32,13.32,45.0
training,4,PPO,10.0,episode,1,58de13ec412b,6819248fefe7,15.972,13.31,13.31,45.0
training,4,PPO,15.0,episode,1,6819248fefe7,3593fb52a44e,15.996,13.33,13.33,45.0
training,4,PPO,20.0,episode,1,3593fb52a44e,66e28692c84e,15.996,13.33,13.33,45.0
training,4,PPO,25.0,episode,1,66e28692c84e,dc822841848a,15.996,13.33,13.33,45.0
training,4,PPO,30.0,episode,1,dc822841848a,d3254fe0bd03,15.876,13.23,13.23,45.0
training,4,PPO,35.0,episode,1,d3254fe0bd03,13d6d55eb07c,15.972,13.31,13.31,45.0
training,5,RES-MAPDDPG,5.0,prepare_scenario,1,13d6d55eb07c,58de13ec412b,15.984,13.32,13.32,45.0
training,5,RES-MAPDDPG,10.0,episode,1,58de13ec412b,6819248fefe7,15.972,13.31,13.31,45.0
training,5,RES-MAPDDPG,15.0,episode,1,6819248fefe7,3593fb52a44e,15.996,13.33,13.33,45.0
training,5,RES-MAPDDPG,20.0,episode,1,3593fb52a44e,66e28692c84e,15.996,13.33,13.33,45.0
training,5,RES-MAPDDPG,25.0,episode,1,66e28692c84e,dc822841848a,15.996,13.33,13.33,45.0
training,5,RES-MAPDDPG,30.0,episode,1,dc822841848a,d3254fe0bd03,15.876,13.23,13.23,45.0
training,5,RES-MAPDDPG,35.0,episode,1,d3254fe0bd03,13d6d55eb07c,15.972,13.31,13.31,45.0
training,6,SAC,5.0,prepare_scenario,1,13d6d55eb07c,58de13ec412b,15.984,13.32,13.32,45.0
training,6,SAC,10.0,episode,1,58de13ec412b,6819248fefe7,15.972,13.31,13.31,45.0
training,6,SAC,15.0,episode,1,6819248fefe7,3593fb52a44e,15.996,13.33,13.33,45.0
training,6,SAC,20.0,episode,1,3593fb52a44e,66e28692c84e,15.996,13.33,13.33,45.0
training,6,SAC,25.0,episode,1,66e28692c84e,dc822841848a,15.996,13.33,13.33,45.0
training,6,SAC,30.0,episode,1,dc822841848a,d3254fe0bd03,15.876,13.23,13.23,45.0
training,6,SAC,35.0,episode,1,d3254fe0bd03,13d6d55eb07c,15.972,13.31,13.31,45.0
training,7,SPAM-D3QN,5.0,prepare_scenario,1,13d6d55eb07c,58de13ec412b,15.984,13.32,13.32,45.0
training,7,SPAM-D3QN,10.0,episode,1,58de13ec412b,6819248fefe7,15.972,13.31,13.31,45.0
training,7,SPAM-D3QN,15.0,episode,1,6819248fefe7,3593fb52a44e,15.996,13.33,13.33,45.0
training,7,SPAM-D3QN,20.0,episode,1,3593fb52a44e,66e28692c84e,15.996,13.33,13.33,45.0
training,7,SPAM-D3QN,25.0,episode,1,66e28692c84e,dc822841848a,15.996,13.33,13.33,45.0
training,7,SPAM-D3QN,30.0,episode,1,dc822841848a,d3254fe0bd03,15.876,13.23,13.23,45.0
training,7,SPAM-D3QN,35.0,episode,1,d3254fe0bd03,13d6d55eb07c,15.972,13.31,13.31,45.0
training,8,TD3,5.0,prepare_scenario,1,13d6d55eb07c,58de13ec412b,15.984,13.32,13.32,45.0
training,8,TD3,10.0,episode,1,58de13ec412b,6819248fefe7,15.972,13.31,13.31,45.0
training,8,TD3,15.0,episode,1,6819248fefe7,3593fb52a44e,15.996,13.33,13.33,45.0
training,8,TD3,20.0,episode,1,3593fb52a44e,66e28692c84e,15.996,13.33,13.33,45.0
training,8,TD3,25.0,episode,1,66e28692c84e,dc822841848a,15.996,13.33,13.33,45.0
training,8,TD3,30.0,episode,1,dc822841848a,d3254fe0bd03,15.876,13.23,13.23,45.0
training,8,TD3,35.0,episode,1,d3254fe0bd03,13d6d55eb07c,15.972,13.31,13.31,45.0
